fr,de,ru,en,zh,es,ja,ko,et,fi,nl,hi,word_original,it,hi_translit,ml_translit,ta_translit,te_translit,gu_translit,ml,ta,te,gu
"['temps', 'temps grammatical']","['Zeit', 'Zeitform', 'Tempus']",['время'],"['tense', 'grammatical tense', 'time']","['时', '时态']","['tiempo gramatical', 'tiempo']",['時制'],['시제'],['aeg'],"['aikamuoto', 'tempus']","['tijd', 'werkwoordstijd']","['व्याकरणिक काल', 'काल']",time,['tempo'],"['samay', 'samay', 'kala', 'waqt']","['samayam', 'kala', 'kaalam', 'sandhyam']","['kal', 'ner', 'murai']","['kaalam', 'samaya']","['samay', 'kala', 'saath', 'vaqt', 'dur']","['സമയം', 'കാലം', 'നിമിഷം']","['நேரம்', 'காலம்', 'நொடி', 'மணி', 'நாள்']","['కాలం', 'సమయం']","['સમય', 'કાળ']"
"['noir', 'couleur', 'teinte', 'teint']","['Farbe', 'Schwarz', 'Teint', 'Gesichtsfarbe']","['чёрный', 'цвет']","['black', 'color', 'coloring', 'colouring', 'complexion', 'colour', 'lists of colors']","['色', '黑色', '颜色', '顏色', '烏黑色', '乌', '乌黑色', '烏', '詳細顏色列表']","['negra', 'color', 'tez', 'negro', 'coloración', 'colorido']","['黒', 'くろ', 'ワインの色']","['검정', '검은색', '색깔', '색']","['must', 'värv', 'värvus', 'Värvuste loendid']","['väri', 'musta', 'väritys']","['gelaatskleur', 'teint', 'zwart', 'kleur', 'kleurtje']","['रंग', 'काला']",color,"['colore', 'carnagione', 'nero', 'colorazione']","['rang', 'varn', 'shabd', 'abhar', 'chitra']","['varnam', 'chithram', 'rangam', 'nirupamam', 'vegam']","['color -  veṟi', 'malai', 'pōkku', 'varai', 'chōṟu']","['rangam', 'varnam', 'chitra', 'nilam', 'varnamu']","['rang', 'varna', 'chhaya']","['നിറം', 'വർണ്ണം', 'ചായം']","['நிறம்', 'வண்ணம்', 'வர்ணம்', 'பச்சை', 'சிவப்பு']","['రంగు', 'వర్ణం', 'వర్ణము']","['રંગ', 'છાયા', 'વર્ણ', 'રંગમય']"
"['graine', 'semence']","['Samenkorn', 'Saat', 'Same', 'Samen']","['се́мя', 'семя', 'семена́']",['seed'],"['种', '種子', '種', '种子', '籽']","['semilla', 'pepita', 'simiente']","['種子', '種']","['씨', '씨앗']",['seeme'],['siemen'],['zaad'],"['दाना', 'बीज']",kind,['seme'],"['kind', 'sahyog', 'prem', 'daya', 'milind']","['sneham', 'daivam', 'upakaram', 'maitri', 'karunyam']","['kind', 'nandri', 'ninaippu', 'paavam', 'thavarum']","['mithra', 'daivam', 'sahasam', 'sneham', 'priyam']","['sundar', 'prem', 'milind', 'shubh', 'drashta']","['സുന്ദരം', 'നല്ല', 'സ്നേഹപൂർണ്ണ', 'ദयाലു', 'മിത']","['நல்ல', 'இயற்கையான', 'அன்பான', 'மனமுவந்து', 'நேர்மையான']","['కరుణ', 'మంచి', 'రకం', 'ప్రకారం', 'రీతి']","['સરસ', 'મૈત્રીપૂર્ણ', 'પ્રેમી', 'દયાળુ', 'હિંમતવાન']"
['nœud'],['Knoten'],['узел'],['knot'],"['结', '繩結', '节']","['nudo', 'lazo']",['結び目'],['매듭'],"['sõlm', 'Sõlm']","['solmu', 'Solmu']",['knoop'],['गांठ'],tie,"['nodo', 'annodamento', 'groppo', 'annodatura']","['bandh', 'dori', 'rachi', 'saath', 'joda']","['thiri', 'koodu', 'bandham']","['thooppu', 'koodu', 'kaṭṭu', 'kōṭṭu']","['bandham', 'koodu', 'bandhamu', 'thali', 'thali']","['bandh', 'khat', 'bandhan', 'joda', 'saath']","['കെട്ടി', 'മുടക്ക്', 'ബന്ധം', 'കെട്ടിപ്പിടിക്കുക']","['கட்டை', 'கட்டி', 'இணைப்பு', 'மடல்', 'கயிறு']","['ముడి', 'కట్టు', 'బంధం', 'కట్టి', 'బిగువు']","['ટાઈ', 'બાંધણ', 'બાંધવું', 'બોટન', 'રેખા']"
"['face', 'figure', 'visage', 'page', 'aspect', 'facette']","['Visage', 'Angesicht', 'Antlitz', 'Gesicht', 'Seite', 'Facette', 'Fassette']","['лицо', 'обли́чье', 'лик', 'лицо́', 'физионо́мия', 'страница', 'сторона', 'грань', 'аспе́кт', 'вид']","['face', 'human face', 'page', 'facet', 'aspect', 'side']","['面', '臉', '脸', '面孔', '人类的脸', '颜', '页', '頁', '方面']","['rostro', 'cara', 'jeta', 'faz', 'rostro humano', 'página', 'faceta', 'aspecto']","['顔', 'ページ', '項', '様相']","['얼굴', '페이지', '쪽', '양상']","['nägu', 'Nägu', 'lehekülg']","['naama', 'kasvot', 'pärstä', 'sivu', 'puoli', 'aspekti', 'ominaisuus', 'näkökohta', 'näkökulma', 'näkökanta']","['tronie', 'smoel', 'aangezicht', 'gelaat', 'gezicht', 'snoet', 'fieselefacie', 'bakkes', 'porem', 'snufferd', 'ponem', 'facie', 'snuit', 'smoelwerk', 'fieselemie', 'aanschijn', 'toetje', 'postzegel', 'toet', 'pagina', 'bladzijde', 'blad', 'zijde', 'aspect', 'facet']","['चेहरा', 'मुखड़ा', 'मुख', 'पृष्ठ']",face,"['viso', 'faccia', 'volto', 'pagina', 'facciata', 'pag.', 'aspetto', 'sfaccettatura', 'lato']","['mukha', 'chehra']",['mukham'],"['muṇam', 'mukha']","['mukha', 'vaanam']","['mukha', 'chehra']","['മുഖം', 'വില്ല്', 'പുറം']","['முகம்', 'முகப்பு', 'வாய்', 'தோல்', 'முகச்சோலை']","['ముఖం', 'వ్యక్తి', 'దిక్కు', 'వాగు', 'చిహ్నం']","['મુખ', 'ચહેરો', 'વાળ', 'પ્રતિબિંબ', 'દેખાવ']"
"['pont', 'liste de ponts romains', 'passerelle']","['Brücke', 'Liste römischer Brücken']",['мост'],"['bridge', 'span', 'list of Roman bridges']","['桥', '橋', '桥梁']","['puente', 'bóveda']","['はし', '橋']","['다리', '교량']",['sild'],['silta'],"['brug', 'lijst van Romeinse bruggen']",['सेतु'],bridge,"['ponte', 'ponti romani']","['pul', 'seth', 'sangam']","['sethu', 'puli', 'thodu']","['settu', 'pōl', 'pōlvilai', 'kōṭṭam', 'vaṇṇam']","['setu', 'pulla', 'bandham', 'samarambham', 'sangamam']","['setu', 'pul']","['പാലം', 'പുഴയിലൂടെ', 'സംഗമം']","['பாலம்', 'இணைப்பு', 'விரிப்பு']","['సెṭ్టె', 'పుల్లు', 'సింధు', 'సెట్టె', 'సెట్టె']","['સેતુ', 'પુલ', 'સંકલન', 'સંધાન']"
"['troupeau', 'bouquet', 'groupe', 'botte', 'regroupement']","['Hirt', 'Herde', 'Hirte', 'Strauß', 'Bund']","['стадо', 'буке́т', 'пучо́к', 'свя́зка']","['herd', 'clustering', 'cluster', 'bunch', 'clump']","['群', '群居', '兽群', '牧群', '束', '簇', '丛', '帮', '一丛', '一群', '一串', '串']","['rebaño', 'rebañador', 'manada', 'pastor', 'piara', 'manojo', 'ramo', 'bonchote', 'grupo', 'puñado', 'agrupación', 'racimo', 'cúmulo', 'amontonamiento', 'clúster']","['群れ', '房', '束']","['무리', '다발', '송이']","['Kari', 'kari']","['paimen', 'Lauma', 'lauma', 'nippu', 'kimppu', 'rykelmä', 'ryhmä', 'parvi']","['kudde', 'herder', 'bos', 'unit', 'troep', 'tros', 'cluster', 'span', 'sterrenhoop', 'stel']",['झुंड'],group,"['mandria', 'gregge', 'branco', 'armento', 'mucchio', 'graspo', 'ciuffo', 'raggruppamento', 'mazzo', 'insieme', 'gruppo']","['samaj', 'goup', 'parishad', 'sangathan', 'mandal']","['samajam', 'sangham', 'mandalam', 'parishadham', 'gruham']","['kōṭṭam', 'kūṭam', 'paṭṭi', 'pāṭṭi', 'saṅgha']","['samajam', 'gruham', 'sangham', 'parishadam', 'mandal']","['samaj', 'sangathan', 'gruh', 'mandal', 'parishad']","['समूह', 'കൂട്ടം', 'സംഘം', 'ഗ്രൂപ്പ്']","['க்குழு', 'தொகுதி', 'கும்பல்', 'அணி', 'சங்கம்']","['సమూహం', 'బృందం', 'గుంపు', 'కుటుంబం', 'జట్టు']","['મंडળી', 'જૂથ', 'સંગઠન', 'કટાર', 'કુટુંબ']"
"['domicile', 'maison']",['Haus'],"['дом', 'жилище']","['house', 'home', 'dwelling']","['屋', '房屋', '家屋', '住宅', '家', '房子']",['casa'],"['家', '家屋', '住宅']",['집'],"['hoone', 'maja']",['talo'],"['optrekje', 'woning', 'onderdak', 'woonplaats', 'huis', 'verblijf', 'domicilie', 'woonhuis', 'huisje']","['घर', 'मकान']",house,"['casa', 'domicilio', 'abitazione']","['ghar', 'basera', 'griha', 'aashray']","['illam', 'veedu', 'griham']","['venila', 'il', 'veedu', 'naal', 'thavalam']","['illam', 'griham', 'vasati', 'baytham', 'nivasam']","['ghar', 'bungalow', 'vas', 'griha', 'niwas']","['വീട്', 'വസതി', 'കെട്ടിടം', 'അവകാശം', 'താമസസ്ഥലം']","['வீடு', 'குடிசை', 'இல்லம்', 'பங்களா', 'மனை']","['ఇంటి', 'నివాసం', 'గృహం', 'కుటుంబం', 'భవనం']","['ઘર', 'મકાન', 'બંગલો', 'રેસિડેન્સ', 'બિલ્ડિંગ']"
"['développement historique', 'histoire']","['Geschichte', 'historische Entwicklung', 'Geschichtswissenschaft']","['история', 'исто́рия']","['historical development', 'history']","['史', '歷史', '历史', '歷史學', '历史学']",['historia'],"['歴史', '沿革']","['역사', '사학']",['ajalugu'],"['historia', 'historiantutkimus']",['geschiedenis'],"['इतिहास', 'तारीख़']",history,['storia'],"['itihaas', 'puratan', 'kahani', 'lekha', 'vamsha']","['charithram', 'ithihasam', 'purathu', 'lekhanam']","['chrithi', 'ilakkiyam', 'purathu', 'varalaru']","['Itihasa', 'puratatvamu', 'charitramu', 'lekhalu', 'vamsavali']","['itihasa', 'lekhak', 'puratan', 'gatha', 'vamsavali']","['ചരിത്രം', 'ഇതിഹാസം', 'പാരമ്പര്യം', 'കഥ', 'വർത്തമാനം']","['வரலாறு', 'கால வரலாறு', 'பண்டைய காலம்']",['చరిత్ర'],"['ઇતિહાસ', 'ઇતિહાસકથા', 'વર્તમાન', 'પૂર્વવર્તન', 'યાદગાર']"
"['vallée', 'val', 'céréale']","['Tal', 'Senke', 'Korn', 'Getreide', 'Frucht', 'Zerealie']","['долина', 'Долина', 'доли́на', 'зерновые культуры', 'злак', 'зернова́я культу́ра', 'крупа́']","['valley', 'dale', 'vale', 'cereal', 'cereal grass']","['谷', '溪谷', '山谷', '谷地', '谷物', '谷类', '穀類', '穀物']","['dolina', 'valle', 'val', 'cereal', 'cereales']",['穀物'],"['골짜기', '계곡', '시리얼', '곡류', '곡물', '알곡']","['org', 'teravili']","['laakso', 'vilja', 'viljanjyvä', 'Vilja', 'viljakasvi']","['dal', 'vallei', 'graan', 'koren', 'graansoort']","['घाटी - पर्वतों या उत्थित भागों के बीच निचली ज़मीन वाला हिस्सा, लम्बाई में विस्तार वाला', 'घाटी', 'वादी', 'खाद्यान्न']",valley,"['valle', 'vallata', 'conca', 'cereali', 'cereale']","['ghati', 'nadi', 'dhara']","['kadal', 'chira', 'thala', 'kandam', 'paalam']","['kadal', 'malaiyai', 'kūṭam']","['nadhi thalu', 'talu', 'konda thalu', 'gundla', 'chala']","['ghati', 'nadi', 'talav', 'dhar', 'khad']","['കുന്നിൻ താഴ്വര', 'വയൽ', 'താഴ്വര', 'പാട', 'അരുവി']","['வலாய்', 'குன்றுகளுக்கு இடையில் உள்ள பகுதி', 'பள்ளத்தாக்கு']","['ఒకవంక', 'లోయ', 'గాలి', 'లోయలు', 'లోయ']","['વડ', 'ખીણ', 'ગાદી', 'ખાડ', 'ડોળ']"
"['période', 'ère géologique', 'ère', 'génération']","['Ära', 'Generation', 'Geschlecht']","['геологическая эра', 'поколе́ние']","['period', 'era', 'geological era', 'generation']","['代', '地质代', '纪元', '輩', '辈', '世代']","['tiempo', 'periodo', 'era geológica', 'era', 'período', 'época', 'generación']",['世代'],"['대', '세대']","['aegkond', 'põlvkond']","['maailmankausi', 'aikakausi', 'geologinen ajanjakso', 'sukupolvi']","['era', 'tijdperk', 'tijdrekening', 'periode', 'generatie']","['भूवैज्ञानिक महाकल्प', 'पीढ़ी', 'पुश्त', 'नस्ल']",generation,"['periodo', 'era', 'era geologica', 'età', 'generazione']","['pradarshan', 'avdhar', 'sampraday', 'vamsha']","['purogam', 'sambhava', 'avasaanam', 'daanam', 'janma']","['puram', 'varpu', 'kural', 'paṭṭu', 'kūṭam']","['purogati', 'paksham', 'avatharamu', 'sambhava', 'janma']","['purogati', 'vamsha', 'avashya', 'janma', 'samay']","['തലമുറ', 'പരമ്പര', 'കാലഘട്ടം']","['தலைமுறை', 'பரம்பரை']","['తరం', 'తరగతి', 'పరం', 'కాలం', 'వంశం']","['પેઢી', 'વય', 'સમય', 'ઉત્પાદન']"
"['agglomération urbaine', 'métropole', 'ville', 'cité', 'grande-ville', 'bourgade', 'bourg']","['Metropole', 'Stadt', 'Großstadt', 'Weltstadt', 'Stadtsiedlung', 'Kleinstadt', 'Bourg']","['метрополия', 'город', 'центр', 'мегаполис', 'го́род', 'метропо́лия', 'мегапо́лис', 'град', 'метрополис', 'малый город', 'бург']","['city', 'urban center', 'metropolis', 'city/town', 'town', 'large village']","['城', '城市', '都市', '大都市', '城市/城镇', '市', '大城市', '大都会', '大都會', '大型村落', '鄉鎮', '镇', '城镇']","['área metropolitana', 'zona metropolitana', 'ciudad', 'aglomeración urbana', 'metrópolis', 'metrópoli', 'ciudad/pueblo', 'urbe', 'capital', 'villa', 'pueblo', 'población']","['主要都市', '都市', '都市・街', 'メトロポリス', '町', '大都市', '大都会', '都会', '市', '街']","['시내', '도시', '시', '메트로폴리스', '대도시', '마을']","['linn', 'pealinn', 'suurlinn', 'Suurlinn']","['kaupunki', 'suurkaupunki', 'metropoli', 'kaupunkikeskus', 'pikkukaupunki']","['stad', 'wereldstad', 'grootstad', 'metropool', 'moederstad', 'town', 'middelgrote plaats of stadje', 'plaats', 'gemeente']","['शहर', 'नगर', 'बड़ा शहर']",city,"['città', 'metropoli', 'città o paese', 'urbe', 'centro urbano', 'cittadina', 'grosso paese', 'paese']","['nagar', 'shahar', 'puri', 'kshetra', 'metropolis']","['nagaram', 'puram', 'kshetram', 'valam', 'thala']","['nagaram', 'pattinam', 'ural', 'kural', 'kavi']","['nagaram', 'kshetram', 'puri']","['nagar', 'shahar', 'puri', 'metropolis', 'dham']","['നഗരം', 'പട്ടണം', 'നഗരി', 'താലൂക്ക്', 'കേന്ദ്രം']","['நகரம்', 'பேரூராட்சி', 'நகப்புறம்', 'நகரம்']","['నగరం', 'పట్టణం', 'పుర']","['મહાનગર', 'શહેર', 'નગર', 'નગરપાલિકા', 'શહેરી']"
"['langue', 'langage', 'langage humain']","['Zunge', 'Sprache', 'menschliche Sprache', 'Einzelsprache']","['язык', 'язы́к', 'речь']","['language', 'human language', 'linguistic communication']","['语', '語言', '语言', '言语', '言語', '话', '話']","['lengua', 'idioma', 'lenguaje', 'comunicación lingüística']","['言語', '個別言語', '言葉']","['언어', '말', '개개의 언어']",['keel'],"['kieli', 'kielellinen kommunikaatio']","['taal', 'spraak', 'tong']","['ज़बान', 'भाषा', 'ज़ुबान', 'भासा', 'लिसान', 'भाष', 'वाणी', 'भाखा', 'बोली']",language,"['lingua', 'linguaggio', 'idioma']","['bhasha', 'bhasha', 'vaani', 'sabda', 'prakriti']","['bhasha', 'bhāṣā', 'vaakyam']","['mozhi', 'valar', 'ezhuthu']","['bhasha', 'vaani', 'bhāṣā', 'śabda']","['bhasha', 'vachana', 'bhasha', 'vachana', 'boli']","['ഭാഷ', 'ഭാഷാ', 'വാക്കുകൾ']","['மொழி', 'மொழிபெயர்ப்பு', 'வார்த்தை', 'பேச்சு', 'மொழி']","['భాష', 'మాతృభాష', 'వాక్యము', 'ప్రాంతీయ భాష']","['ભાષા', 'ભાષા', 'ભાષા']"
"['vitesse', 'vélocité', 'vecteur vitesse', 'Vitesse', 'rapidité']","['Geschwindigkeit', 'Schnelligkeit', 'Geschwindigkeitsvektor']","['скорость', 'ско́рость']","['velocity', 'speed']","['速', '速率', '速度']",['velocidad'],"['速度', '速さ']","['빠르기', '속도', '속력']",['kiirus'],"['nopeus', 'vauhti']","['snelheid', 'vaart', 'gezwindheid', 'vlugheid']",['वेग'],speed,"['velocità', 'celerità']","['speed -  teer', 'shpeeed', 'drishti', 'gati', 'vaat']","['vegam', 'chaal', 'shramam', 'vruththi', 'sneham']","['velicham', 'kavalai', 'vazhthukkal', 'soothu', 'paadai']","['vegam', 'chaal', 'sankalpam', 'gati', 'durgati']","['vilo', 'tejas', 'drutata', 'gati']","['വേഗം', 'പാട്', 'ത്വര', 'ചലനം']","['வேகம்', 'திசை', 'சுரண்டல்', 'துரிதம்']","['వేగం', 'త్వర', 'వేగాన్ని', 'దూరం', 'వేగం']","['ગતિ', 'ઝડપ', 'વેગ', 'દર', 'ઝડપી']"
"['territoire', 'terre ferme', 'plancher des vaches', 'terre', 'sol']","['Land', 'Festland', 'Grund', 'Erdboden', 'Boden', 'Erde', 'Länder', 'fester Boden']","['земля', 'суша', 'су́ша', 'земля́', 'зе́мли', 'грунт']","['land', 'ground', 'terra firma', 'earth', 'solid ground', 'dry land', 'land mass']","['地', '陸地', '土地', '陆地', '地面']","['tierra', 'territorio', 'terreno', 'tierra firme', 'suelo']","['地面', '土地', '大地', '土', '陸地']","['땅', '육지', '륙지', '대지', '뭍', '토지']","['maa', 'maismaa']","['maa', 'maanpinta', 'kuiva maa']","['land', 'aarde', 'droge land', 'vaste grond', 'grond', 'bodem', 'vasteland']","['सरजमीन', 'धरती', 'भूतल', 'ज़मीन', 'भूमि']",ground,"['territorio', 'terra', 'terraferma', 'superficie', 'suolo', 'terra ferma', 'continente']","['bhumi', 'dhruv', 'maidan', 'zameen']","['bhumi', 'thalam', 'nadu', 'maadam', 'bhoomi']","['mani', 'nadu', 'thalaivan', 'thalaimurasu']","['bhumi', 'dhruvam', 'bhoomi', 'maata', 'thala']","['bhumi', 'dhruv', 'maidan', 'dharti', 'chha']","['ഭൂമി', 'മണ്ണ്', 'തറ', 'പുറം']","['மண்ணு', 'நிலம்', 'தளம்', 'மேடை', 'பூமி']","['భూమి', 'మట్టి', 'నేల', 'మేద', 'పొలం']","['મકાન', 'ભૂમિ', 'માટી', 'ભૂમિ', 'સપાટી']"
['queue'],['Schwanz'],['хвост'],['tail'],"['尾', '尾巴', '尾子']",['cola'],['尻尾'],['꼬리'],['saba'],"['pyrstö', 'häntä']",['staart'],"['दुम', 'पूंछ', 'पूँछ', 'पुच्छ']",tail,['coda'],"['shvan', 'poosh']",['koodu'],"['koyil', 'vaiyil', 'koodal']","['jalam', 'chala', 'vembu', 'konda', 'pilla']","['chhu', 'shanku', 'dhuli', 'pashu']","['കുരുക്ക്', 'പരു', 'വാല്\u200d', 'പുറം']","['வாலும்', 'குடில்', 'பின்புறம்', 'பின்னால்', 'அந்தப்புறம்']","['పుంటి', 'కొన', 'చివరు', 'కొమ్ము']","['પૂંછડી', 'ટીલ']"
"['maman', 'maternité', 'mère']","['Mutter', 'Mutterschaft']","['мать', 'материнство']","['mother', 'female parent', 'motherhood']","['母', '母親', '娘', '妈妈', '母亲']","['madre', 'maternidad', 'mamá', 'progenitora']",['母親'],['어머니'],['ema'],"['äiti', 'äitiys', 'naispuolinen vanhempi']","['moeder', 'moederschap', 'moes', 'moesje', 'moederlief', 'mam', 'mama', 'ma', 'mammie', 'moe']",['माता'],mother,"['maternità', 'madre', 'mamma', 'genitrice']","['maa', 'mata', 'aama', 'ammaa']","['ammamma', 'amma', 'thayamma']","['pen', 'ammai', 'thaai']","['ammamma', 'alla', 'taayamma', 'matha']","['maa', 'aama', 'mata']","['അമ്മ', 'മാതാവ്', 'അമ്മേ']","['தாய்', 'அம்மா', 'தாயு', 'தந்தை', 'அன்னை']","['తల్లి', 'అమ్మ', 'తండ్రి', 'మాతృ', 'ఆత్మ']","['માતા', 'મા', 'માઁ', 'માતાજી', 'મારા']"
"['levant', 'est', 'orient']","['Ost', 'Osten']","['восто́к', 'восхо́д', 'восток', 'ост']","['E', 'eastward', 'east', 'due east']","['东', '東方', '東', '东方']","['este', 'levante', 'oriente']","['東', '東方']","['동쪽', '새', '동']","['idakaar', 'ida', 'Ida']","['itä', 'I']","['oosten', 'oost']","['पूर्व', 'पूरब', 'पूर्वा', 'मशरिक', 'पूब', 'शर्क']",east,"['oriente', 'est', 'levante', 'E']","['purv', 'uday', 'dakshin']",['purvath'],['kizhakku'],"['purvamu', 'poovvu']",['purv'],"['पूर्व', 'കിഴക്ക്']","['கிழக்கு', 'வடகிழக்கு', 'வடக்கு']","['पूर्व', 'తూర్పు', 'ఆగ్నేయ']","['पूर्व', 'ઉત્તર-પૂર્વ']"
"['langue', 'langage', 'langage humain', 'patois', 'dialecte', 'accent', 'idiome']","['Zunge', 'Sprache', 'menschliche Sprache', 'Einzelsprache', 'Akzent', 'Idiom', 'Dialekt', 'Ausdrucksweise', 'Mundart']","['язык', 'язы́к', 'речь', 'диалект', 'акцент', 'го́вор', 'диале́кт', 'наре́чие', 'идио́м']","['language', 'human language', 'linguistic communication', 'dialect', 'accent', 'idiom']","['话', '語言', '语言', '言语', '言語', '話', '口音', '方言', '土语', '一群人使用的特定的词汇']","['lengua', 'idioma', 'lenguaje', 'comunicación lingüística', 'dialecto', 'acento']","['言語', '個別言語', '言葉', '-弁', '方言', '訛り', 'アクセント']","['언어', '말', '개개의 언어', '어법', '사투리', '방언', '악센트']","['keel', 'murre', 'aktsent', 'Aktsent']","['kieli', 'kielellinen kommunikaatio', 'murre', 'korostus', 'Korostus', 'aluemurre', 'kielimuunnos']","['taal', 'spraak', 'tong', 'mondaard', 'dialect', 'Tongval', 'tongval', 'streektaal', 'accent', 'patois']","['ज़बान', 'भाषा', 'ज़ुबान', 'भासा', 'लिसान', 'भाष', 'वाणी', 'भाखा', 'बोली', 'उपभाषा', 'उच्चारण', 'लहजा']",speech,"['lingua', 'linguaggio', 'idioma', 'dialetto', 'accento', 'vernacolo', 'parlata']","['vaani', 'updes', 'bhashan', 'katha', 'sankalp']","['vaachaka', 'vaakku', 'sangeetham', 'padam', 'vacanam']","['valarchi', 'paṭṭu', 'vaṇṇam', 'kural', 'sēri']","['vacanam', 'vaakya', 'pravachanam', 'bhashanam', 'anuvadham']","['vachan', 'bhasha', 'vyakhyan', 'samvaad', 'pratibha']","['സംസാരം', 'പ്രസംഗം', 'വാക്', 'വചനം', 'പ്രകാശം']","['பேச்சு', 'உரையாற்றல்', 'சொற்பொழிவு', 'வாக்கு', 'சொல்லுரை']","['వాక్', 'ప్రసంగం', 'ఉపన్యాసం', 'ప్రకటన', 'మాట']","['ભાષણ', 'વાક્ય', 'ઉપદેશ', 'સંદેશ', 'પ્રવચન']"
['tour'],['Turm'],"['вышка', 'башня', 'ба́шня']",['tower'],"['塔', '塔樓', '樓臺', '楼台', '楼阁', '塔楼', '樓閣', '塔式建築']",['torre'],['タワー'],['탑'],['torn'],['torni'],['toren'],['बुर्ज'],tower,['torre'],"['minar', 'burj']","['thodakam', 'kovil', 'veedhi', 'peedika', 'thara']","['kūṟai', 'vīra', 'kūṭam', 'pālai', 'vīra']","['gopuram', 'burj', 'taram', 'veedhi', 'sthambham']","['shingada', 'burj']","['പള്ളി', 'കൊട്ടാരം', 'മണിമണ്ഡപം', 'കുടീരം', 'തൂവർ']","['மணியகம்', 'கோபுரம்', 'கட்டிடம்', 'மாட', 'உயரம்']","['మనోరా', 'బిల్డింగ్', 'గుంపు', 'కొండ', 'దుర్గా']","['મિનાર', 'શિખર', 'બિલ્ડિંગ', 'ટાવર', 'ઉંચો ભાગ']"
"['homme', 'mec', 'type', 'gars', 'bonhomme']","['Mann', 'Kerl', 'Herr', 'Mannsbild', 'Mannsperson']",['мужчина'],"['male', 'man', 'adult male']","['男', '人', '男人', '男性']","['hombre', 'varón', 'hombre adulto']","['男の人', '男性']","['남자 사람', '남성']",['mees'],"['mies', 'aikuinen mies']","['baas', 'jongen', 'man', 'pief', 'gast', 'heer', 'vent', 'kerel', 'manspersoon', 'mannetje', 'klant', 'broger', 'meneer', 'basserool', 'heerschap', 'mens', 'pik', 'knaap']",['पुरुष'],male,"['uomo', 'maschio']","['purush', 'aadmi', 'nar', 'mard']","['purushan', 'aadharavam']","['purushan', 'man', 'aal']","['purusha', 'purushudu', 'mahila']","['purush', 'nan', 'mahila', 'patni', 'balak']","['पुरुष', 'പുരുഷൻ', 'ആണു']","['ஆண்', 'இரண்', 'மகன்']","['పురుషుడు', 'మగవాడు', 'ఆడవాడు']","['पुरुष', 'પુરુષ', 'યુવક']"
['électricité'],['Elektrizität'],['электричество'],['electricity'],"['电', '电力', '电气', '電力', '電氣', '电能', '電能', '電']",['electricidad'],['電気'],['전기'],"['elektrienergia', 'elekter']",['sähkö'],['elektriciteit'],"['बिजली', 'विद्युत शक्ति', 'विद्युत']",electric,['elettricità'],"['electric', 'bijli', 'vishwakarma', 'pravaha']","['vidyutha', 'bijuli']","['elekṭrik', 'kōṭṭi', 'vaṭṭi']","['bijulika', 'vaidyutika', 'vaidyut']","['bijali', 'vaidyutik', 'jyoti', 'pravaha', 'vijay']","['വൈദ്യുതി', 'പ്രകാശ', 'ഇലക്ട്രിക്']","['தொடர்ச்சியான', 'மின்னல்', 'மின்னும்', 'மின்சாரம்', 'மின்னணு']","['వైద్యుత్', 'విద్యుత్', 'ప్రాణవాయువు']","['વિદ્યુત', 'વિજયુત', 'જાળ', 'પ્રવાહ', 'બિજલી']"
"['encadrement de porte', 'porte', 'portière', 'huis', 'ménage', 'foyer', 'famille']","['Türfutter', 'Türrahmen', 'Tor', 'Türzarge', 'Türen', 'Tür', 'Türe', 'Haushalt', 'Privathaushalt']","['две́ри', 'дверь', 'семья', 'Домашнее хозяйство', 'домохозяйство']","['door case', 'doorcase', 'door', 'door frame', 'doorway', 'doorframe', 'household', 'family', 'home', 'menage', 'house', 'private household']","['户', '戶', '門', '门', '门儿', '門兒', '門扉', '一家人', '家庭', '人家', '家人', '家庭成员', '家族']","['puerta', 'marco de puerta', 'seguro', 'núcleo familiar', 'familia', 'casa', 'hogar', 'menaje']","['門', 'ドア', '扉', '戸', '戸口', '世帯']","['문', '세대']","['uks', 'majapidamine', 'Majapidamine']","['ovi', 'talous', 'kotitalous', 'suku', 'ruokakunta', 'perhekunta', 'perhe']","['poort', 'portier', 'deur', 'huishouden', 'huisgezin', 'familie', 'huishouding', 'gezin']","['द्वार', 'दरवाज़ा', 'दर', 'प्रवेश', 'दरवाजा']",household,"['telaio della porta', 'porta', 'portiera', 'uscio', 'sportello', 'nucleo familiare', 'famiglia', 'casa']","['ghar', 'parivar', 'grih', 'kula', 'gharana']","['valarppaadu', 'griham', 'kudikku', 'thara', 'kudi']","['valarppaṭai', 'kuṭṭam', 'veṭṭi', 'il', 'thāyagam']","['griha', 'gharana', 'kulam', 'parivaraku', 'vasthu']","['ghar', 'gharana', 'parivar', 'griha', 'vas']","['കുടുംബം', 'വീട്', 'വസതി', 'കുടുംബാംഗങ്ങൾ', 'കുടുംബ']","['வீட்டு', 'குடும்பம்', 'குடும்பம்', 'வீட்டுப் பொருட்கள்', 'குடியிருப்பு']","['గృహము', 'ఇంటి', 'కుటుంబం', 'ఇళ్ళు']","['ઘર', 'પરિવાર', 'કુટુંબ']"
