fr,de,ru,en,zh,es,ja,ko,et,fi,nl,hi,word_original,it,hi_translit,ml_translit,ta_translit,te_translit,gu_translit,ml,ta,te,gu,ml_devnagari,ta_devnagari,te_devnagari,gu_devnagari
"['vallée', 'val']","['Tal', 'Senke']","['долина', 'Долина', 'доли́на']","['valley', 'dale', 'vale']","['溪谷', '山谷', '谷地']","['dolina', 'valle', 'val']",['谷'],"['골짜기', '계곡']",['org'],['laakso'],"['dal', 'vallei']","['घाटी', 'वादी', 'तराई', 'निचला', 'उपत्यका']",valley,"['valle', 'vallata', 'conca']","['ghaati', 'vaadi', 'taraai', 'nichala', 'upatyaka']","['thaazhvara', 'nadeethadam', 'kidangu', 'nellie', 'puzhayoram']","['pallaththaakku', 'kammam', 'kaattaaru', 'pakuthi', 'neduvazhi']","['loya', 'konde', 'gandlu', 'kandakam', 'vaagu']","['kheen', 'નદીનો khinpradesh', 'khaado', 'khinpradesh', 'nimnapradesh']","['താഴ്വര', 'നദീതടം', 'കിടങ്ങ്', 'നെല്ലി', 'പുഴയോരം']","['பள்ளத்தாக்கு', 'கம்மம்', 'காட்டாறு', 'பகுதி', 'நெடுவழி']","['లోయ', 'కొండె', 'గండ్లు', 'కందకం', 'వాగు']","['ખીણ', 'નદીનો ખીણપ્રદેશ', 'ખાડો', 'ખીણપ્રદેશ', 'નિમ્ણપ્રદેશ']","['थाज़वारा', 'नदीथदम', 'किडंगू', 'नेली', 'पुजायोराम']","['पल्लथ्थाक्कू', 'कम्मम', 'काट्टारु', 'पकुठी', 'नेदुवाज़ी']","['लोया', 'कोंडे', 'गंडलू', 'कंदकम', 'वागु']","['खीं', 'નદીનો खिनप्रदेश', 'खादो', 'खिनप्रदेश', 'निम्नप्रदेश']"
"['carré', 'carré en je broertjte']","['Quadrat', 'Quadrat en je zusje']","['квадрат', 'квадра́т']","['square', 'foursquare', 'second power']","['正方形', '平方', '二次幂']","['cuadrado', 'cuadro', 'cuadrado perfecto']","['正方形', '自乗', '平方', '二乗, nijō']","['정사각형', '평방']","['ruut', 'Ruut']","['neliö', 'nelikulmio', 'Neliö', 'toinen potenssi']","['vierkant', 'carré', 'kwadraat', 'tweede macht']","['वर्ग', 'चौरस', 'आयत', 'चौकोर', 'चतुर्भुज']",square,['quadrato'],"['varg', 'chauras', 'aayat', 'chaukor', 'chaturbhuj']","['chathuram', 'vargam', 'samachathuram', 'chathuraakrithi']","['sathuram', 'sathuravadivam', 'kattam', 'therkaasi', 'sevvagam']","['chaturasram', 'vargam', 'phalakam', 'chadarapu', 'aavaranam']","['choras', 'varg', 'chorsaakaar', 'samchoras', 'chatushkon']","['ചതുരം', 'വർഗം', 'സമചതുരം', 'ചതുരാകൃതി']","['சதுரம்', 'சதுரவடிவம்', 'கட்டம்', 'தெற்காசி', 'செவ்வகம்']","['చతురస్రం', 'వర్గం', 'ఫలకం', 'చదరపు', 'ఆవరణం']","['ચોરસ', 'વર્ગ', 'ચોરસાકાર', 'સમચોરસ', 'ચતુષ્કોણ']","['चथुराम', 'वर्गम', 'समाचतुराम', 'चथुराकृति']","['साथूराम', 'साथुरावादिवम', 'कट्टम', 'थेरकासी', 'सेव्वागम']","['चतुरसराम', 'वर्गम', 'फलकम', 'चदरपु', 'आवरणम']","['चोरस', 'वर्ग', 'चोरसाकार', 'समचोरस', 'चतुष्कों']"
['génération'],['Geschlecht'],['поколе́ние'],['generation'],"['輩', '代', '辈', '世代']",['generación'],['世代'],['세대'],['põlvkond'],['sukupolvi'],['generatie'],"['पीढ़ी', 'जन्म', 'उत्पत्ति', 'सृजन', 'आयु']",generation,['generazione'],"['peedhi', 'janm', 'utpatti', 'srijan', 'ayu']","['thalamura', 'padi', 'kaalam', 'tharam', 'janam']","['thalaimurai', 'kaalam', 'santhathi', 'kulam', 'vamsam']","['taram', 'povuta', 'puttuka', 'vamsam', 'kaalam']","['pedhhi', 'panktee', 'vansh', 'janara', 'janmojan']","['തലമുറ', 'പടി', 'കാലം', 'തരം', 'ജനം']","['தலைமுறை', 'காலம்', 'சந்ததி', 'குலம்', 'வம்சம்']","['తరం', 'పోవుట', 'పుట్టుక', 'వంశం', 'కాలం']","['પેઢી', 'પંક્તિ', 'વંશ', 'જનારા', 'જનમોજન']","['थलामुरा', 'पड़ी', 'कालम', 'थरम', 'जनम']","['थलाईमुरई', 'कालम', 'संथाथी', 'कुलम', 'वामसम']","['तरम', 'पोवुता', 'पुट्टुका', 'वामसम', 'कालम']","['पेढ़ी', 'पंक्ति', 'वंश', 'जनारा', 'जन्मोजन']"
"['sud', 'midi']",['Süden'],['юг'],"['south', 'southward', 'due south', 'S']","['南', '南方']","['sur', 'sud']",['南'],['남쪽'],"['Lõuna', 'lõuna']","['etelä', 'S', 'suoraan etelään']","['zuid', 'zuiden']","['दक्षिण', 'दक्खिन', 'दक्षिणी', 'दखिन', 'दक्खन']",south,"['sud', 'meridione', 'mezzogiorno', 'austro']","['dakshin', 'dakkhin', 'dakshini', 'dakhin', 'dakkhan']","['thekk', 'dakshinam']","['therku', 'thenn', 'thenbaguthi', 'thennaadu', 'thenmandalam']","['dakshinam', 'dakshina', 'nadumu', 'madhyahnam', 'dhisha']","['daksheen', 'dakshindisha', 'avnee', 'disha', 'dikk']","['തെക്ക്', 'ദക്ഷിണം']","['தெற்கு', 'தென்', 'தென்பகுதி', 'தென்னாடு', 'தென்மண்டலம்']","['దక్షిణం', 'దక్షిణ', 'నడుము', 'మధ్యాహ్నం', 'దిశ']","['દક્ષિણ', 'દક્ષિણદિશા', 'અવનિ', 'દિશા', 'દિક્ક']","['ठेक्क', 'दक्षिणम']","['थेरकू', 'थेन', 'थेनबगुठी', 'थेन्नाडु', 'थेनमंडलम']","['दक्षिणम', 'दक्षिणा', 'नादुमु', 'मध्याहनाम', 'धीशा']","['दक्षीण', 'दक्षिणदिशा', 'अवनी', 'दिशा', 'दिक्क']"
"['agglomération urbaine', 'métropole', 'ville', 'cité', 'grande-ville']","['Metropole', 'Stadt', 'Großstadt', 'Weltstadt', 'Stadtsiedlung']","['метрополия', 'город', 'центр', 'мегаполис', 'го́род', 'метропо́лия', 'мегапо́лис', 'град', 'метрополис']","['city', 'urban center', 'metropolis', 'city/town']","['城市', '城', '都市', '大都市', '城市/城镇', '市', '大城市', '大都会', '大都會']","['área metropolitana', 'zona metropolitana', 'ciudad', 'aglomeración urbana', 'metrópolis', 'metrópoli', 'ciudad/pueblo', 'urbe', 'capital']","['主要都市', '都市', '都市・街', 'メトロポリス', '町', '大都市', '大都会', '都会', '市']","['시내', '도시', '시', '메트로폴리스', '대도시']","['linn', 'pealinn', 'suurlinn', 'Suurlinn']","['kaupunki', 'suurkaupunki', 'metropoli', 'kaupunkikeskus']","['stad', 'wereldstad', 'grootstad', 'metropool', 'moederstad']","['शहर', 'नगर', 'कस्बा', 'महानगर', 'बस्ती']",city,"['città', 'metropoli', 'città o paese', 'urbe', 'centro urbano']","['shahar', 'nagar', 'kasba', 'mahanagar', 'basti']","['nagaram', 'pattanam', 'puram', 'thalasthaanam', 'urvvam']","['nagaram', 'oor', 'pattinam', 'pattainam', 'managaram']","['nagaram', 'pattanam', 'nagareekarana', 'janapadam', 'puram']","['shaher', 'nagar', 'mahanagar', 'nagri', 'shaheree']","['നഗരം', 'പട്ടണം', 'പുരം', 'തലസ്ഥാനം', 'ഉർവ്വം']","['நகரம்', 'ஊர்', 'பட்டினம்', 'பட்டைனம்', 'மாநகரம்']","['నగరం', 'పట్టణం', 'నగరీకరణ', 'జనపదం', 'పురం']","['શહેર', 'નગર', 'મહાનગર', 'નગરી', 'શહેરી']","['नागराम', 'पट्टनम', 'पुरम', 'थलस्थानम', 'उर्व्वम']","['नागराम', 'ऊर', 'पट्टीनाम', 'पट्टैनम', 'मानगरम']","['नागराम', 'पट्टनम', 'नगरीकरण', 'जनपदम', 'पुरम']","['शाहेर', 'नागर', 'महानगर', 'नागरी', 'शहरी']"
"['langue', 'langage', 'langage humain', 'langage parlé', 'langue parlée', 'parole']","['Zunge', 'Sprache', 'menschliche Sprache', 'Einzelsprache', 'gesprochene Sprache', 'Sprechen', 'Gesprochene Sprache']","['язык', 'язы́к', 'речь', 'устная речь', 'говорение']","['language', 'human language', 'linguistic communication', 'spoken language', 'speech', 'oral communication', 'spoken communication', 'voice communication', 'speech communication']","['語言', '语言', '言语', '言語', '话', '話', '口語', '口语', '說話']","['lengua', 'idioma', 'lenguaje', 'comunicación lingüística', 'lengua hablada', 'habla', 'lenguaje oral', 'comunicación oral', 'comunicación verbal', 'lenguaje verbal']","['言語', '個別言語', '言葉', '口語', '音声', '音声言語', '口頭言語']","['언어', '말', '개개의 언어', '말하기', '랑그와 파롤', '구어']","['keel', 'Kõne', 'Suuline keel', 'suuline keel', 'kõne']","['kieli', 'kielellinen kommunikaatio', 'puhe', 'puhekieli', 'ääniviestintä', 'puheviestintä', 'puhuttu kieli', 'puhuminen', 'suullinen viestintä']","['taal', 'spraak', 'tong', 'spreektaal', 'gesproken taal']","['भाषा', 'बोली', 'जुबान', 'लेख', 'वाणी']",language,"['lingua', 'linguaggio', 'idioma', 'lingua parlata', 'parlare', 'parlata']","['bhasha', 'bollie', 'juban', 'lekh', 'vaani']","['bhasha', 'vachanam', 'samsaaram', 'vaakk', 'mozhi']","['mozhi', 'paechchu', 'vazhakku', 'nunnarivu', 'keelvazhakku']","['bhaasha', 'maata', 'jaateeyam', 'vyavaharam', 'vachakam']","['bhaasha', 'bollie', 'vaanee', 'shabd', 'samvaad']","['ഭാഷ', 'വചനം', 'സംസാരം', 'വാക്ക്', 'മൊഴി']","['மொழி', 'பேச்சு', 'வழக்கு', 'நுண்ணறிவு', 'கீழ்வழக்கு']","['భాష', 'మాట', 'జాతీయం', 'వ్యవహారం', 'వాచకం']","['ભાષા', 'બોલી', 'વાણી', 'શબ્દ', 'સંવાદ']","['भाषा', 'वचनम', 'समसारम', 'वाक्क', 'मोझी']","['मोझी', 'पैच्चू', 'वज़हक्कू', 'नुन्नारिवु', 'कीलवाज़हक्कू']","['भाषा', 'माता', 'जातीयम', 'व्यवहाराम', 'वाचकम']","['भाषा', 'बॉली', 'वाणी', 'शब्द', 'संवाद']"
"['vitesse', 'vélocité', 'vecteur vitesse', 'Vitesse', 'rapidité', 'taux']","['Geschwindigkeit', 'Schnelligkeit', 'Geschwindigkeitsvektor', 'Rate']","['скорость', 'ско́рость', 'скорость движения', 'темп']","['speed', 'velocity', 'fastness', 'swiftness', 'rate', 'ratio']","['速率', '速度', '率']","['velocidad', 'rapidez', 'celeridad', 'índice', 'tasa', 'ritmo']","['速度', '速さ', '割合', '年収', '月給', '時給', '日給']","['빠르기', '속도', '속력', '비율']","['kiirus', 'Keskmine kiirus', 'keskmine kiirus', 'muutumiskiirus']","['nopeus', 'vauhti', 'vauhdikkuus', 'tahti', 'tuntipalkka']","['snelheid', 'vaart', 'gezwindheid', 'vlugheid', 'grootte van de snelheid', 'gang', 'vaartje', 'gangetje', 'tempo', 'ratio', 'graad', 'tarief']","['गति', 'वेग', 'रफ्तार', 'चाल', 'गति']",speed,"['velocità', 'celerità', 'speditezza', 'andatura', 'tasso', 'ritmo']","['gati', 'wegg', 'raftar', 'chaal', 'gati']","['vegatha', 'vegam', 'raashi', 'gathi', 'dhrithi']","['vaegam', 'seeramaivu', 'viraivu', 'thisai', 'viraivuththanmai']","['vegam', 'sheeghram', 'vegata', 'raftu', 'joru']","['gatee', 'veeyg', 'zadap', 'chapalata', 'shighrataa']","['വേഗത', 'വേഗം', 'രാശി', 'ഗതി', 'ധൃതി']","['வேகம்', 'சீரமைவு', 'விரைவு', 'திசை', 'விரைவுத்தன்மை']","['వేగం', 'శీఘ్రం', 'వేగత', 'రఫ్తు', 'జోరు']","['ગતિ', 'વેગ', 'ઝડપ', 'ચપળતા', 'શીઘ્રતા']","['वेगाथा', 'वेगम', 'राशी', 'गठी', 'धृति']","['वैगम', 'सीरामैवु', 'विरैवु', 'थिसाई', 'विरैवुत्थानमई']","['वेगम', 'शीघ्रम', 'वेगता', 'रफ्तू', 'जोरू']","['गती', 'वीयग', 'ज़ड़प', 'चपलता', 'शीघ्रता']"
"['territoire', 'terre ferme', 'plancher des vaches', 'terre', 'sol', 'raison', 'cause', 'motif', 'arrière-plan', 'fond']","['Land', 'Festland', 'Grund', 'Erdboden', 'Boden', 'Erde', 'Länder', 'fester Boden', 'Blumenerde', 'Hintergrund']","['земля', 'суша', 'су́ша', 'земля́', 'зе́мли', 'грунт', 'основа́ние', 'моти́в', 'резо́н', 'причи́на', 'по́вод', 'фо́н', 'за́дний план', 'бэ́кграунд', 'бэкгра́унд']","['ground', 'land', 'terra firma', 'earth', 'solid ground', 'dry land', 'land mass', 'soil', 'dirt', 'reason', 'occasion', 'background']","['陸地', '地', '土地', '陆地', '地面', '泥土', '土壤', '土', '壤', '原因', '理由', '背景']","['tierra', 'territorio', 'terreno', 'tierra firme', 'suelo', 'razón', 'causa', 'trasfondo', 'fondo', 'segundo plano']","['地', '地面', '土地', '大地', '土', '陸地', '理由', '背景']","['땅', '육지', '륙지', '대지', '뭍', '토지', '배경']","['maa', 'maismaa']","['maa', 'maanpinta', 'kuiva maa', 'sora', 'irtomaa', 'multa', 'syy', 'peruste', 'tausta', 'taka-ala', 'pohja']","['land', 'aarde', 'droge land', 'vaste grond', 'grond', 'bodem', 'vasteland', 'teelaarde', 'omgeving', 'reden', 'motivatie', 'afweging', 'considerans', 'consideratie', 'overweging', 'drijfveer', 'beweeggrond', 'motief', 'beweegreden', 'ratio', 'achtergrond', 'toneel', 'background']","['जमीन', 'भूमि', 'धरती', 'ज़मीन', 'मैदान']",ground,"['territorio', 'terra', 'terraferma', 'superficie', 'suolo', 'terra ferma', 'continente', 'terriccio', 'terreno', 'motivo', 'ragione', 'cagione', 'causa', 'ragionamento', 'sfondo']","['jameen', 'bhoomi', 'dharti', 'meenan', 'maidan']","['thara', 'bhoomi', 'puram', 'maithanam', 'nilam']","['tharai', 'mann', 'nilam', 'puvi', 'bhoomi']","['naela', 'bhoomi', 'maidaanam', 'praantam', 'bhubhagam']","['jameen', 'bhoomi', 'dhartee', 'jamaa', 'bhuin']","['തറ', 'ഭൂമി', 'പുറം', 'മൈതാനം', 'നിലം']","['தரை', 'மண்', 'நிலம்', 'புவி', 'பூமி']","['నేల', 'భూమి', 'మైదానం', 'ప్రాంతం', 'భూభాగం']","['જમીન', 'ભૂમિ', 'ધરતી', 'જમા', 'ભૂઇં']","['थारा', 'भूमि', 'पुरम', 'मैथानम', 'नीलम']","['थराई', 'मन्न', 'नीलम', 'पुवी', 'भूमि']","['नैला', 'भूमि', 'मैदानम', 'प्रांतम', 'भूभागम']","['जमीन', 'भूमि', 'धरती', 'जमा', 'भुईं']"
['queue'],['Schwanz'],['хвост'],['tail'],"['尾巴', '尾子', '尾']",['cola'],"['尾', '尻尾']",['꼬리'],['saba'],"['pyrstö', 'häntä']",['staart'],"['पूंछ', 'लंबी', 'डंडी', 'पुच्छ', 'पूँछ']",tail,['coda'],"['poonchh', 'lambi', 'dundy', 'puchchh', 'poonchh']","['vaalu', 'puchi', 'thokku', 'pinbhagam', 'poocha']","['wall', 'thoagai', 'adichodi', 'pinpaguthi', 'pinnadi']","['thoka', 'pucchamu', 'puuchamu', 'punkilamu', 'puchhati']","['puchhadi', 'doqa', 'pichchh', 'laambi', 'punchhadi']","['വാല്', 'പുച്ചി', 'തോക്ക്', 'പിൻഭാഗം', 'പൂച്ച']","['வால்', 'தோகை', 'அடிச்சொடி', 'பின்பகுதி', 'பின்னடி']","['తోక', 'పుచ్చము', 'పూచము', 'పుంకిలము', 'పుచ్చటి']","['પૂછડી', 'ડોક', 'પિચ્છ', 'લાંબી', 'પુંછડી']","['वालू', 'पूछी', 'थोक्कू', 'पिनभागम', 'पूछा']","['वॉल', 'थोआगाई', 'आदिचोड़ी', 'पिनपगुठी', 'पिन्नड़ी']","['ठोका', 'पुच्छमु', 'पूछमु', 'पुंकिलामु', 'पुछती']","['पुछड़ी', 'दोक़ा', 'पिच्छ', 'लांबी', 'पुंछड़ी']"
"['maman', 'maternité', 'mère', 'parent']","['Mutter', 'Mutterschaft', 'Eltern', 'Elternteil', 'Elternschaft', 'Elter']","['мать', 'материнство', 'родители', 'родитель', 'родительство']","['mother', 'female parent', 'motherhood', 'parents', 'parent', 'parenthood']","['母親', '娘', '母', '妈妈', '母亲', '親本', '双亲之一', '父亲或母亲']","['madre', 'maternidad', 'mamá', 'progenitora', 'progenitor', 'padre', 'padres']","['母親', '親']","['어머니', '부모']","['ema', 'vanemad']","['äiti', 'äitiys', 'naispuolinen vanhempi', 'vanhemmuus', 'vanhempi', 'isä']","['moeder', 'moederschap', 'moes', 'moesje', 'moederlief', 'mam', 'mama', 'ma', 'mammie', 'moe', 'ouders', 'ouder', 'ouderschap', 'moederplant', 'stamplant']","['माता', 'माँ', 'जननी', 'अम्मा', 'मातृ']",mother,"['maternità', 'madre', 'mamma', 'genitrice', 'genitori', 'genitore', 'procreatore']","['maataa', 'maan', 'janani', 'amma', 'maatri']","['amma', 'maathaav', 'maathru', 'janani', 'janmadaathaav']","['thaai', 'annai', 'amma', 'maadaa', 'janani']","['talli', 'janani', 'amma', 'maata', 'janayitri']","['maataa', 'maa', 'aataa', 'janani', 'myaata']","['അമ്മ', 'മാതാവ്', 'മാതൃ', 'ജനനി', 'ജന്മദാതാവ്']","['தாய்', 'அன்னை', 'அம்மா', 'மாதா', 'ஜனனி']","['తల్లి', 'జనని', 'అమ్మ', 'మాత', 'జనయిత్రి']","['માતા', 'મા', 'આતા', 'જનની', 'મ્યાતા']","['अम्मा', 'माथाव', 'माथरू', 'जनानी', 'जन्मदाथाव']","['थाई', 'अन्नई', 'अम्मा', 'मादा', 'जनानी']","['तल्ली', 'जनानी', 'अम्मा', 'माता', 'जनयित्री']","['माता', 'मा', 'आता', 'जनानी', 'म्याता']"
"['levant', 'est', 'orient']","['Ost', 'Osten']","['восто́к', 'восхо́д', 'восток', 'ост']","['east', 'E', 'eastward', 'due east']","['東方', '東', '东方', '东']","['este', 'levante', 'oriente']","['東', '東方']","['동쪽', '새', '동']","['idakaar', 'ida', 'Ida']","['itä', 'I']","['oosten', 'oost']","['पूर्व', 'पूरब', 'पंचिम', 'दिशा', 'पाश्चिम']",east,"['oriente', 'est', 'levante', 'E']","['poorv', 'purab', 'panchim', 'disha', 'paschim']","['kizhakk', 'parasthyam', 'praachyam', 'poorvam']","['kilakku', 'semmaerku', 'keezhkkadal', 'thenkizhakku', 'kizhakkunoakku']","['thoorpu', 'diguva', 'puurvam', 'puurvadisa', 'praachi']","['purv', 'purvadisha', 'pashchimanishedh', 'uday', 'praachi']","['കിഴക്ക്', 'പൗരസ്ത്യം', 'പ്രാച്യം', 'പൂർവം']","['கிழக்கு', 'செம்மேற்கு', 'கீழ்க்கடல்', 'தென்கிழக்கு', 'கிழக்குநோக்கு']","['తూర్పు', 'దిగువ', 'పూర్వం', 'పూర్వదిశ', 'ప్రాచీ']","['પૂર્વ', 'પૂર્વદિશા', 'પશ્ચિમનિષેધ', 'ઉદય', 'પ્રાચી']","['किज़हक्क', 'परस्थ्यम', 'प्राच्यम', 'पूर्वम']","['किलक्कू', 'सेम्माएरकु', 'कीझक्कदल', 'थेंकिज़हक्कू', 'किजहाक्कुनोआक्कू']","['थूरपू', 'दिगुवा', 'पूर्वम', 'पूर्वदिस', 'प्राची']","['पूर्व', 'पूर्वदिशा', 'पश्चिमनिषेध', 'उदय', 'प्राची']"
"['langue', 'langage', 'langage humain', 'langage parlé', 'langue parlée', 'parole', 'cours magistral', 'enseignement magistral']","['Zunge', 'Sprache', 'menschliche Sprache', 'Einzelsprache', 'gesprochene Sprache', 'Sprechen', 'Gesprochene Sprache', 'Vorlesung']","['язык', 'язы́к', 'речь', 'устная речь', 'говорение', 'лекция']","['speech', 'language', 'human language', 'linguistic communication', 'spoken language', 'oral communication', 'spoken communication', 'voice communication', 'speech communication', 'lecture', 'lecturing']","['語言', '语言', '言语', '言語', '话', '話', '口語', '口语', '說話', '演講', '演讲', '講述教學法', '讲座', '讲演', '讲课']","['lengua', 'idioma', 'lenguaje', 'comunicación lingüística', 'lengua hablada', 'habla', 'lenguaje oral', 'comunicación oral', 'comunicación verbal', 'lenguaje verbal', 'clase magistral', 'conferencia', 'presentación oral', 'clase']","['言語', '個別言語', '言葉', '口語', '音声', '音声言語', '口頭言語', '講義']","['언어', '말', '개개의 언어', '말하기', '랑그와 파롤', '구어', '강의']","['keel', 'Kõne', 'Suuline keel', 'suuline keel', 'kõne', 'loeng']","['kieli', 'kielellinen kommunikaatio', 'puhe', 'puhekieli', 'ääniviestintä', 'puheviestintä', 'puhuttu kieli', 'puhuminen', 'suullinen viestintä', 'luento', 'esitelmä', 'esitelmöinti', 'luennointi']","['taal', 'spraak', 'tong', 'spreektaal', 'gesproken taal', 'lezing', 'hoorcollege']","['भाषण', 'वाणी', 'वक्तृत्व', 'अभिभाषण', 'उद्बोधन']",speech,"['lingua', 'linguaggio', 'idioma', 'lingua parlata', 'parlare', 'parlata', 'lezione magistrale', 'conferenza', 'lezione']","['bhashan', 'vaani', 'vaktritva', 'abhibhaashan', 'udbodhan']","['prasangam', 'bhashanam', 'upanyasam', 'padesham', 'abhibhaashanam']","['urai', 'paechchu', 'soll', 'mozhi', 'arikkai']","['prasangam', 'upanyaasam', 'bhaashanam', 'vaktrutvam', 'upanyasanam']","['bhaashan', 'vaktavya', 'upadesh', 'pravachan', 'vaanee']","['പ്രസംഗം', 'ഭാഷണം', 'ഉപന്യാസം', 'പദേശം', 'അഭിഭാഷണം']","['உரை', 'பேச்சு', 'சொல்', 'மொழி', 'அறிக்கை']","['ప్రసంగం', 'ఉపన్యాసం', 'భాషణం', 'వక్తృత్వం', 'ఉపన్యసనం']","['ભાષણ', 'વક્તવ્ય', 'ઉપદેશ', 'પ્રવચન', 'વાણી']","['प्रसंगम', 'भाषणम', 'उपन्यासम', 'पदेशम', 'अभिभाषणम']","['उरई', 'पैच्चू', 'सोल', 'मोझी', 'अरिक्कई']","['प्रसंगम', 'उपन्यासम', 'भाषणम', 'वक्तृत्वं', 'उपन्यासनम']","['भाषण', 'वक्तव्य', 'उपदेश', 'प्रवचन', 'वाणी']"
"['mineur', 'frite', 'gosse', 'enfant', 'pomme frite', 'jeune', 'responsabilité pénale des mineurs', 'fille', 'enfants']","['Minderjährige', 'Kind', 'Jugendliche', 'minderjährigkeit', 'Minderjährigkeit', 'Tochter', 'Kinder']","['несовершеннолетний', 'ребенок', 'ребёнок', 'дочь', 'дщерь', 'до́чка']","['child', 'fry', 'french fry', 'minor', 'chip', 'youngster', 'shaver', 'small fry', 'kid', 'nestling', 'tiddler', 'tike', 'tyke', 'nipper', 'daughter', 'girl', 'children']","['兒童', '孩儿', '孩', '小孩子', '小孩', '小兒', '孩子', '孩兒', '儿童', '小儿', '未成年人', '女兒', '女儿', '閨女', '闺女', '姑娘', '小孩儿', '儿子或女儿', '后代']","['papa frita', 'niña', 'menor de edad', 'menor', 'niño', 'joven', 'infancia', 'minoría de edad', 'jovenzuelo', 'mozalbete', 'chico', 'muchachuelo', 'chiqüelo', 'chiquillo', 'criatura', 'crío', 'chango', 'pececillo', 'cría', 'chaval', 'alevín', 'nene', 'tike', 'hija', 'hijo', 'niños', 'ninzzo']","['子', '子供', '未成年者', '娘', 'お嬢さん']","['아이', '어린이', '미성년자', '딸', '따님']","['alaealine', 'laps', 'alaealisus', 'tütar', 'lapsed']","['alaikäinen', 'lapsi', 'vekara', 'pikkumies', 'vintiö', 'napero', 'lapsukainen', 'kersa', 'pentu', 'tenava', 'ipana', 'muksu', 'tytär', 'tyttö']","['patat', 'kind', 'friet', 'jongere', 'jongeling', 'minderjarige', 'ding', 'dochter', 'dochterlief', 'kinderen', 'loot', 'spruit', 'koter']","['बच्चा', 'शिशु', 'बालक', 'लड़का', 'बच्चा']",child,"['minore', 'fanciullo', 'giovane', 'fanciullino', 'bambino', 'moccioso', 'mimmo', 'pargolo', 'bimbo', 'figlio', 'ragazzo', 'marmocchio', 'figlia', 'figliola', 'bambina', 'bambini', 'bambine', 'figlio piccolo']","['bachcha', 'shishu', 'baalak', 'ladka', 'bachcha']","['kutty', 'kochu', 'makan', 'makal', 'baalan']","['kuzhandhai', 'sisu', 'kutti', 'pillai', 'saei']","['pillavadu', 'bidda', 'sisuvu', 'chinnari', 'pasivaadu']","['baadak', 'baad', 'santaan', 'putra', 'bachcho']","['കുട്ടി', 'കൊച്ച്', 'മകൻ', 'മകൾ', 'ബാലൻ']","['குழந்தை', 'சிசு', 'குட்டி', 'பிள்ளை', 'சேய்']","['పిల్లవాడు', 'బిడ్డ', 'శిశువు', 'చిన్నారి', 'పసివాడు']","['બાળક', 'બાળ', 'સંતાન', 'પુત્ર', 'બચ્ચો']","['कुट्टी', 'कोचू', 'मकान', 'मकल', 'बालन']","['कुजानधाई', 'सिसू', 'कुट्टी', 'पिल्लई', 'सई']","['पिल्लवाडु', 'बिद्दा', 'सिसुवु', 'चिन्नारी', 'पसिवाड़ू']","['बादक', 'बाद', 'संतान', 'पुत्र', 'बच्चो']"
['tour'],['Turm'],"['вышка', 'башня', 'ба́шня']",['tower'],"['塔樓', '塔', '樓臺', '楼台', '楼阁', '塔楼', '樓閣', '塔式建築']",['torre'],"['塔', 'タワー']",['탑'],['torn'],['torni'],['toren'],"['बुर्ज', 'मीनार', 'टावर', 'स्तंभ', 'अटारी']",tower,['torre'],"['burj', 'meenar', 'tower', 'stambh', 'attari']","['gopuram', 'kotta', 'minaram', 'buruj', 'maalika']","['koopuram', 'maaligai', 'kottakai', 'mathil', 'maadam']","['bhavanam', 'gopuram', 'koota', 'maeda', 'buruju']","['buraj', 'minaro', 'mahal', 'attari', 'maalakhu']","['ഗോപുരം', 'കോട്ട', 'മിനാരം', 'ബുരുജ്', 'മാളിക']","['கோபுரம்', 'மாளிகை', 'கொட்டகை', 'மதில்', 'மாடம்']","['భవనం', 'గోపురం', 'కోట', 'మేడ', 'బురుజు']","['બુરજ', 'મિનારો', 'મહલ', 'અટારી', 'માળખું']","['गोपुराम', 'कोट्टा', 'मीनाराम', 'बुरुज', 'मालिका']","['कूपुरम', 'मालिगै', 'कोट्टकाई', 'माथिल', 'मादम']","['भावनाम', 'गोपुराम', 'कूटा', 'मैदा', 'बुरुजू']","['बुराज', 'मिनारो', 'महल', 'अत्तरी', 'मालखु']"
